Ldim_ID,Zebra_Prot_ID,Gene_Name,Identity,Length,Mism,Gap,qs,qe,ss,se,Evalue,Bitscore
g12302,lcl|NC_133187.1_prot_XP_073774105.1_45607,rab26,81.5,254,40,3,1,253,1,248,2.33e-141,398.0
g12085,lcl|NC_133179.1_prot_NP_001077049.1_12603,atp23,81.5,227,41,1,7,233,29,254,3.56e-139,392.0
g373,lcl|NC_133186.1_prot_XP_009304569.1_45216,megf6b,81.5,567,105,0,16,582,32,598,2.9500000000000003e-110,387.0
g20780,lcl|NC_133188.1_prot_NP_001116096.1_48489,foxg1d,81.5,216,38,2,102,316,44,258,1.04e-118,350.0
g11922,lcl|NC_133179.1_prot_NP_001002494.1_13636,rergla,81.5,205,38,0,1,205,1,205,3.43e-116,330.0
g14787,lcl|NC_133182.1_prot_XP_073762549.1_27382,nit1,81.5,195,36,0,31,225,6,200,3.55e-113,327.0
g3357,lcl|NC_133180.1_prot_NP_997931.2_18807,ranbp1,81.5,189,32,2,1,188,1,187,1.5299999999999998e-104,301.0
g14702,lcl|NC_133182.1_prot_XP_021333451.1_28165,sat2a.1,81.5,168,31,0,1,168,1,168,2.59e-103,295.0
g1132,lcl|NC_133181.1_prot_NP_001032780.1_26608,ube2c,81.5,173,29,1,1,173,1,170,2.61e-102,293.0
g14381,lcl|NC_133182.1_prot_XP_073763935.1_26913,si:cabz01076231.1,81.5,157,29,0,60,216,62,218,1.93e-86,256.0
g14708,lcl|NC_133182.1_prot_NP_001297772.2_28180,fis1,81.5,151,28,0,1,151,1,151,1.07e-78,231.0
g20099,lcl|NC_133194.1_prot_NP_001038459.1_68704,fam210aa,81.5,130,24,0,93,222,70,199,6.28e-74,228.0
g18780,lcl|NC_133193.1_prot_XP_073785175.1_65136,gcsha,81.5,124,22,1,52,175,46,168,7.739999999999998e-69,208.0
g6668,lcl|NC_133177.1_prot_NP_001018612.1_4882,gfi1aa,81.5,54,10,0,165,218,215,268,1.7000000000000002e-22,99.0
g2793,lcl|NC_133183.1_prot_NP_001292471.1_33752,ptch1,81.4,1234,158,10,1,1232,1,1164,0.0,1897.0
g10139,lcl|NC_133182.1_prot_XP_073762352.1_30024,scrib,81.4,1735,293,15,1,1711,1,1729,0.0,1858.0
g5482,lcl|NC_133177.1_prot_XP_005171383.1_6551,nrd1a,81.4,1054,183,3,22,1066,41,1090,0.0,1634.0
g18624,lcl|NC_133200.1_prot_NP_001008619.1_87646,dhtkd1,81.4,905,166,2,20,923,22,925,0.0,1511.0
g8994,lcl|NC_133180.1_prot_NP_001025345.2_21881,lig3,81.4,929,162,6,1,922,87,1011,0.0,1501.0
g13370,lcl|NC_133178.1_prot_XP_686082.5_9219,sez6l2,81.4,891,162,3,55,941,4,894,0.0,1476.0
g17749,lcl|NC_133186.1_prot_NP_001003883.1_43122,ect2,81.4,880,159,4,1,877,1,878,0.0,1411.0
g19089,lcl|NC_133191.1_prot_NP_775332.2_60740,thbs3a,81.4,953,166,3,9,953,13,962,0.0,1278.0
g9554,lcl|NC_133184.1_prot_XP_005167621.1_36796,arhgef7a,81.4,710,129,1,1,707,1,710,0.0,1153.0
g7100,lcl|NC_133185.1_prot_NP_001073517.1_39322,rfx3,81.4,773,122,9,1,759,1,765,0.0,1068.0
g3047,lcl|NC_133183.1_prot_XP_005167275.1_35315,entpd4,81.4,619,114,1,1,618,1,619,0.0,1046.0
g12724,lcl|NC_133178.1_prot_XP_694217.2_11790,colgalt1a,81.4,591,110,0,20,610,28,618,0.0,1040.0
g15137,lcl|NC_133186.1_prot_NP_956708.1_44492,cybb,81.4,565,105,0,1,565,1,565,0.0,962.0
g5696,lcl|NC_133192.1_prot_XP_001339749.3_64575,galnt16,81.4,571,98,3,1,568,2,567,0.0,959.0
g22324,lcl|NC_133183.1_prot_NP_997878.1_33190,ythdf1,81.4,619,99,5,2,614,1,609,0.0,880.0
g12935,lcl|NC_133178.1_prot_NP_958906.2_10252,abat,81.4,500,93,0,1,500,1,500,0.0,870.0
g20594,lcl|NC_133192.1_prot_NP_001002219.1_63052,htra1a,81.4,472,86,2,6,475,8,479,5.9900000000000006e-276,757.0
g6144,lcl|NC_133192.1_prot_XP_021328853.1_63331,kbtbd11,81.4,472,88,0,158,629,227,698,1.44e-266,749.0
g11738,lcl|NC_133179.1_prot_NP_001025261.3_13331,kics2,81.4,442,82,0,5,446,8,449,1.33e-271,744.0
g3614,lcl|NC_133190.1_prot_NP_001107024.1_55588,cadm1b,81.4,403,74,1,1,403,7,408,3.5599999999999996e-241,663.0
g6281,lcl|NC_133192.1_prot_NP_001006065.2_64663,eipr1,81.4,387,72,0,1,387,1,387,1.31e-236,650.0
g18380,lcl|NC_133193.1_prot_NP_001103920.1_65148,wash1,81.4,478,84,5,1,473,4,481,3.92e-232,646.0
g2881,lcl|NC_133180.1_prot_NP_001018355.1_21456,slc14a2,81.4,361,67,0,27,387,63,423,1.73e-221,619.0
g14398,lcl|NC_133182.1_prot_NP_001240739.1_28249,chrnb1,81.4,376,68,2,626,1000,117,491,3.5e-211,613.0
g431,lcl|NC_133181.1_prot_NP_938189.2_25533,ddi2,81.4,397,52,2,1,397,1,375,1.19e-211,608.0
g10993,lcl|NC_133182.1_prot_NP_001165890.1_29090,sord,81.4,354,66,0,1,354,1,354,2.97e-214,591.0
g8177,lcl|NC_133195.1_prot_NP_571035.1_72816,lft1,81.4,334,59,2,1,332,26,358,2.52e-208,575.0
g10516,lcl|NC_133199.1_prot_NP_001017617.1_85891,sh3glb1a,81.4,366,61,2,1,365,1,360,1.17e-206,572.0
g10802,lcl|NC_133182.1_prot_NP_956999.1_27626,rlbp1a,81.4,312,58,0,1,312,1,312,5.4299999999999995e-189,523.0
g1092,lcl|NC_133198.1_prot_XP_073795387.1_83320,si:ch211-236h17.3,81.4,311,55,3,31,339,18,327,1.58e-180,504.0
g7086,lcl|NC_133180.1_prot_NP_001017572.2_22682,exosc2,81.4,295,53,1,1,293,1,295,1.16e-174,486.0
g9024,lcl|NC_133180.1_prot_XP_005172081.2_22001,tlcd3a,81.4,269,48,1,1,267,1,269,2.56e-167,466.0
g14772,lcl|NC_133182.1_prot_NP_919390.1_27477,vax2,81.4,312,47,6,1,306,1,307,2.36e-164,461.0
g8800,lcl|NC_133185.1_prot_NP_956382.1_41405,cfap298,81.4,290,54,0,1,290,1,290,5.34e-162,453.0
g6195,lcl|NC_133188.1_prot_XP_021336346.2_51514,ldlrap1b,81.4,290,46,3,1,290,1,282,5.46e-153,430.0
g17612,lcl|NC_133195.1_prot_NP_001020683.1_71678,gsx2,81.4,242,41,3,1,238,1,242,5.47e-137,386.0
g21194,lcl|NC_133189.1_prot_XP_021336710.1_54080,sfxn5b,81.4,221,41,0,105,325,44,264,4.18e-129,370.0
g8517,lcl|NC_133180.1_prot_XP_002662050.2_19620,tbx3b,81.4,210,39,0,79,288,58,267,8.18e-113,353.0
g22534,lcl|NC_133198.1_prot_XP_073794920.1_82012,usp21,81.4,199,36,1,197,394,1,199,3.24e-118,344.0
g15644,lcl|NC_133176.1_prot_NP_001243119.1_3171,snrpb2,81.4,220,39,1,1,218,1,220,7.51e-120,341.0
g8368,lcl|NC_133185.1_prot_NP_957038.2_41890,smfn,81.4,199,34,1,77,275,62,257,6.91e-115,332.0
g18735,lcl|NC_133193.1_prot_NP_001074270.1_65703,si:ch211-245j22.3,81.4,194,36,0,1,194,1,194,8.750000000000001e-117,331.0
g21659,lcl|NC_133189.1_prot_NP_001315630.2_54378,pdlim7,81.4,204,35,3,5,206,3,205,5.53e-112,331.0
g21966,lcl|NC_133198.1_prot_NP_001003577.1_81703,commd7,81.4,199,37,0,1,199,2,200,2.27e-116,330.0
g9240,lcl|NC_133194.1_prot_NP_001002733.2_69922,nxph1,81.4,188,34,1,77,263,85,272,6.82e-114,330.0
g16659,lcl|NC_133181.1_prot_NP_001076480.1_23555,coq7,81.4,199,33,1,27,221,25,223,7.009999999999998e-115,328.0
g21652,lcl|NC_133189.1_prot_NP_956660.1_52587,prelid1a,81.4,194,36,0,27,220,17,210,4.98e-114,326.0
g11459,lcl|NC_133182.1_prot_NP_001017835.1_30362,hddc3,81.4,177,33,0,3,179,4,180,5.29e-103,295.0
g5921,lcl|NC_133192.1_prot_NP_957111.2_63274,znf593,81.4,129,24,0,1,129,1,129,8.66e-71,209.0
g14709,lcl|NC_133182.1_prot_NP_001007390.1_28146,zgc:103586,81.4,118,22,0,1,118,16,133,2.11e-69,206.0
g7606,lcl|NC_133182.1_prot_NP_571362.2_30787,sox17,81.4,97,17,1,40,136,60,155,2.47e-42,155.0
g10117,lcl|NC_133177.1_prot_XP_073776288.1_5466,fbxl7,81.4,59,11,0,251,309,45,103,2.2899999999999998e-24,104.0
g9735,lcl|NC_133184.1_prot_NP_001296092.1_35838,dbi,81.4,59,11,0,8,66,6,64,2.1e-29,102.0
g18396,lcl|NC_133200.1_prot_NP_001129045.1_88493,uqcc6,81.4,59,11,0,1,59,1,59,1.39e-29,101.0
g21793,lcl|NC_133198.1_prot_XP_002665874.2_83976,LOC100330136,81.4,43,8,0,222,264,286,328,2.91e-10,62.4
g20221,lcl|NC_133188.1_prot_XP_073775592.1_51429,cdh23,81.3,1621,298,3,1,1620,1,1617,0.0,2594.0
g66513,lcl|NC_133196.1_prot_XP_073791197.1_75489,cacna1bb,81.3,1730,261,16,1,1726,87,1758,0.0,2412.0
g2585,lcl|NC_133180.1_prot_XP_021332105.1_18825,unc13ba,81.3,1259,202,4,948,2199,5773,7005,0.0,2014.0
g21141,lcl|NC_133189.1_prot_XP_009305930.1_51927,tbc1d9b,81.3,1216,203,11,1,1194,1,1213,0.0,1916.0
g22267,lcl|NC_133183.1_prot_NP_001289172.1_34528,slc12a5b,81.3,1122,186,7,1,1103,1,1117,0.0,1765.0
g11018,lcl|NC_133182.1_prot_XP_073762288.1_28872,dennd2b,81.3,949,152,9,192,1127,1,937,0.0,1415.0
g16852,lcl|NC_133195.1_prot_XP_073788677.1_71144,adcy1a,81.3,763,127,4,333,1092,2,751,0.0,1204.0
g3776,lcl|NC_133190.1_prot_XP_009290230.3_57316,naalad2,81.3,610,113,1,128,737,24,632,0.0,1033.0
g16762,lcl|NC_133186.1_prot_XP_073772992.1_44624,ttbk1a,81.3,641,91,10,14,639,1,627,0.0,983.0
g5459,lcl|NC_133177.1_prot_NP_001177745.1_6565,slc1a8b,81.3,562,89,4,1,559,2,550,7.84e-318,870.0
g7212,lcl|NC_133185.1_prot_NP_001003876.1_39432,ddx56,81.3,546,97,2,2,547,4,544,3.42e-317,868.0
g5496,lcl|NC_133177.1_prot_NP_571420.1_6909,acvr1l,81.3,502,91,2,4,504,4,503,8.489999999999999e-300,820.0
g1438,lcl|NC_133177.1_prot_NP_001093477.1_5361,ptbp2b,81.3,544,75,8,1,523,1,538,3.66e-290,798.0
g17410,lcl|NC_133183.1_prot_NP_001076288.1_32823,rorca,81.3,480,79,4,3,474,1,477,3.59e-274,753.0
g16900,lcl|NC_133186.1_prot_XP_073772680.1_43521,slc1a8a,81.3,491,63,5,92,566,1,478,1.45e-269,745.0
g8577,lcl|NC_133180.1_prot_NP_001314812.1_20563,chrne,81.3,444,76,2,2,442,77,516,6.28e-258,712.0
g19559,lcl|NC_133194.1_prot_XP_021323804.1_68401,celf3a,81.3,465,74,4,1,459,1,458,2.34e-252,696.0
g9256,lcl|NC_133184.1_prot_NP_571055.1_36319,wnt10a,81.3,406,49,2,9,414,64,442,6.32e-253,695.0
g18382,lcl|NC_133193.1_prot_XP_005173673.1_65152,fkbp4,81.3,418,77,1,3,420,1,417,1.05e-245,679.0
g15237,lcl|NC_133184.1_prot_XP_073768647.1_36477,abcb6b,81.3,400,75,0,431,830,18,417,6.75e-227,645.0
g3903,lcl|NC_133190.1_prot_NP_996943.1_55446,vmp1,81.3,406,75,1,1,405,1,406,7.279999999999999e-234,645.0
g4983,lcl|NC_133194.1_prot_XP_073786965.1_68980,dync1li1,81.3,395,67,4,58,445,4,398,1.1699999999999999e-229,637.0
g17360,lcl|NC_133183.1_prot_NP_001073150.2_32864,foxe3,81.3,411,64,9,1,401,15,422,2.77e-227,629.0
g11271,lcl|NC_133188.1_prot_NP_001314853.1_50039,hnrnph3,81.3,380,66,3,1,380,1,375,1.16e-220,611.0
g16928,lcl|NC_133197.1_prot_NP_955830.1_79261,rtca,81.3,358,66,1,6,363,7,363,8.01e-212,585.0
g1411,lcl|NC_133177.1_prot_NP_001019585.1_4821,anxa13l,81.3,316,59,0,1,316,1,316,3.33e-185,514.0
g4793,lcl|NC_133194.1_prot_XP_073787500.1_68030,LOC100537277,81.3,256,47,1,25,279,20,275,3.2399999999999997e-136,433.0
g18173,lcl|NC_133200.1_prot_NP_001417880.1_88843,mob2a,81.3,235,25,2,42,275,14,230,4.59e-138,390.0
g5204,lcl|NC_133194.1_prot_XP_001340912.2_68368,efna3a,81.3,224,38,2,1,224,1,220,5.32e-133,374.0
g1965,lcl|NC_133177.1_prot_NP_001013504.2_6434,zgc:113531,81.3,203,38,0,6,208,14,216,4.56e-122,346.0
g19503,lcl|NC_133191.1_prot_NP_956258.1_58440,rcvrn2,81.3,193,36,0,1,193,1,193,1.1e-113,323.0
g7358,lcl|NC_133195.1_prot_NP_998459.2_70845,akirin2,81.3,182,29,3,1,179,1,180,8.02e-98,282.0
g16080,lcl|NC_133176.1_prot_XP_001337671.1_2504,LOC797212,81.3,160,30,0,1,160,193,352,2.42e-90,268.0
g4888,lcl|NC_133194.1_prot_NP_001076370.1_69879,col8a2,81.3,166,26,3,524,687,524,686,1.41e-78,266.0
g18184,lcl|NC_133200.1_prot_NP_001002052.1_88864,mrpl23,81.3,150,28,0,5,154,4,153,4.47e-87,253.0
g6032,lcl|NC_133192.1_prot_NP_001306763.1_64322,gstz1,81.3,144,27,0,61,204,1,144,1.1e-83,246.0
g12499,lcl|NC_133178.1_prot_XP_005164260.1_11415,mafk,81.3,160,27,2,1,160,1,157,1.57e-71,214.0
g20472,lcl|NC_133188.1_prot_NP_957441.1_51421,mrpl14,81.3,128,24,0,21,148,14,141,5.790000000000002e-72,214.0
g7395,lcl|NC_133198.1_prot_NP_001025134.1_83625,ppp1r14c,81.3,139,19,2,1,139,1,132,4.73e-70,208.0
g8965,lcl|NC_133196.1_prot_NP_944599.2_76795,foxi3a,81.3,107,18,1,98,202,102,208,3.01e-56,189.0
g5200,lcl|NC_133194.1_prot_NP_001005961.1_68381,s100a10a,81.3,96,18,0,1,96,1,96,1.01e-49,154.0
g3267,lcl|NC_133180.1_prot_NP_001002703.1_18587,snrnp27,81.3,80,15,0,82,161,79,158,4.9200000000000014e-37,126.0
g15655,lcl|NC_133186.1_prot_NP_956592.1_45378,map1lc3c,81.3,75,13,1,1,75,1,74,1.93e-34,115.0
g10413,lcl|NC_133193.1_prot_NP_001038539.1_65741,alx1,81.3,64,12,0,220,283,119,182,9.2e-25,106.0
g13564,lcl|NC_133187.1_prot_XP_005156474.1_47999,si:ch211-221j21.3,81.3,16,3,0,67,82,81,96,0.000851,37.0
g8545,lcl|NC_133180.1_prot_XP_003198691.2_20483,arhgap35b,81.2,1471,264,9,1,1464,2,1467,0.0,2366.0
g7693,lcl|NC_133195.1_prot_NP_001155222.1_70867,map3k5,81.2,1386,220,9,1,1369,1,1363,0.0,2188.0
g101395,lcl|NC_133182.1_prot_XP_073762358.1_30032,scrib,81.2,1710,290,16,1,1686,1,1703,0.0,1807.0
g977,lcl|NC_133197.1_prot_XP_009294385.1_78773,cacna2d2b,81.2,1075,197,3,18,1091,13,1083,0.0,1799.0
g17491,lcl|NC_133197.1_prot_XP_009294614.1_79431,sbno2b,81.2,1128,196,7,106,1232,19,1131,0.0,1785.0
g14144,lcl|NC_133188.1_prot_XP_005156910.1_50680,zmiz1a,81.2,1099,176,11,1,1087,1,1080,0.0,1620.0
g14068,lcl|NC_133187.1_prot_XP_005156352.1_47087,prkcea,81.2,749,125,5,1,742,1,740,0.0,1244.0
g8896,lcl|NC_133196.1_prot_NP_001002683.1_76560,dpp3,81.2,727,136,1,1,726,1,727,0.0,1196.0
g21334,lcl|NC_133189.1_prot_NP_001410156.1_53423,tm9sf5,81.2,650,116,3,6,653,7,652,0.0,1065.0
g435,lcl|NC_133181.1_prot_NP_957483.2_25741,edem1,81.2,639,106,6,1,637,1,627,0.0,1065.0
g957,lcl|NC_133186.1_prot_XP_685690.2_44951,tkta,81.2,628,118,0,1,628,1,628,0.0,1048.0
g8730,lcl|NC_133185.1_prot_XP_009303545.2_40640,slc43a2b,81.2,605,101,5,1,599,1,598,0.0,953.0
g9695,lcl|NC_133184.1_prot_NP_001035414.1_38156,ccdc93,81.2,633,118,1,3,635,2,633,0.0,945.0
g16874,lcl|NC_133183.1_prot_XP_068079031.1_32505,fnbp1l,81.2,564,86,4,1,564,1,544,0.0,895.0
g9292,lcl|NC_133184.1_prot_NP_938170.1_36055,prpf40a,81.2,792,132,5,96,878,68,851,2.94e-314,886.0
g2094,lcl|NC_133177.1_prot_NP_996963.1_7746,ralbp1,81.2,669,121,3,1,668,1,665,1.74e-305,848.0
g8864,lcl|NC_133196.1_prot_NP_956745.1_76865,asl,81.2,463,87,0,1,463,1,463,5.32e-280,766.0
g2112,lcl|NC_133199.1_prot_XP_021326033.1_85955,ntng1a,81.2,409,76,1,2,409,21,429,1.3e-267,732.0
g20820,lcl|NC_133188.1_prot_XP_009305888.1_51713,LOC562831,81.2,467,64,5,1,459,1,451,1.4e-263,724.0
g818,lcl|NC_133181.1_prot_NP_001003996.1_25528,crbn,81.2,436,73,5,16,447,1,431,2.17e-259,712.0
g18539,lcl|NC_133200.1_prot_XP_699042.2_87389,ap4e1,81.2,437,78,2,1,437,1,433,9.29e-240,687.0
g3129,lcl|NC_133183.1_prot_NP_001032658.2_34586,inpp5l,81.2,393,72,1,1,391,1,393,2.13e-246,676.0
g9035,lcl|NC_133196.1_prot_XP_021324753.1_76197,htr3a,81.2,389,70,3,1,389,1,386,2.5199999999999998e-229,636.0
g6142,lcl|NC_133195.1_prot_XP_073789198.1_70929,zdhhc14,81.2,356,64,2,1,354,1,355,2.47e-211,591.0
g8725,lcl|NC_133185.1_prot_NP_956901.1_40586,slc25a1a,81.2,361,65,1,1,361,1,358,1.34e-211,585.0
g5090,lcl|NC_133194.1_prot_XP_005159695.1_69629,tmem64,81.2,351,60,4,3,352,1,346,1.35e-189,528.0
g12055,lcl|NC_133179.1_prot_NP_001315507.1_12985,apex1,81.2,309,57,1,2,310,34,341,4.3299999999999997e-190,527.0
g8846,lcl|NC_133190.1_prot_XP_073778716.1_54470,septin4b,81.2,309,58,0,155,463,16,324,1.53e-185,524.0
g17624,lcl|NC_133195.1_prot_NP_001315270.1_71770,slc10a4,81.2,319,57,2,97,412,1,319,2.36e-178,502.0
g22154,lcl|NC_133198.1_prot_XP_005162360.1_83209,taf8,81.2,308,58,0,1,308,1,308,1.12e-172,482.0
g15885,lcl|NC_133181.1_prot_NP_001189387.1_23246,slc25a38b,81.2,282,52,1,18,298,6,287,1.25e-166,465.0
g6887,lcl|NC_133196.1_prot_NP_001004666.1_74588,uck1,81.2,276,46,2,1,274,6,277,1.62e-158,443.0
g15733,lcl|NC_133176.1_prot_NP_001313470.1_2255,hpgd,81.2,261,49,0,1,261,1,261,8.56e-156,435.0
g21634,lcl|NC_133189.1_prot_NP_783166.1_52509,plp1a,81.2,245,46,0,1,245,1,245,1.57e-150,421.0
g5055,lcl|NC_133194.1_prot_NP_001003604.1_69717,cibar1,81.2,260,49,0,1,260,2,261,3.3e-141,401.0
g16307,lcl|NC_133176.1_prot_NP_955896.2_423,hapstr1b,81.2,266,46,3,1,263,1,265,2.01e-130,371.0
g912,lcl|NC_133197.1_prot_NP_001003585.1_77773,med20,81.2,207,38,1,16,221,6,212,1.8e-126,357.0
g6289,lcl|NC_133192.1_prot_NP_001003442.1_63879,dnal1,81.2,186,35,0,2,187,1,186,5.86e-83,245.0
g4852,lcl|NC_133194.1_prot_NP_001038239.1_69582,trit1,81.2,101,15,1,1,101,1,97,1.15e-44,151.0
g22009,lcl|NC_133183.1_prot_NP_001300740.1_33044,itpr3,81.1,2696,441,19,1,2691,1,2633,0.0,4174.0
g9611,lcl|NC_133184.1_prot_NP_001121810.1_36589,vwa8,81.1,1908,345,6,1,1904,1,1896,0.0,3100.0
g10982,lcl|NC_133182.1_prot_XP_009301500.1_29227,ano5b,81.1,871,156,6,61,923,9,878,0.0,1435.0
g17418,lcl|NC_133183.1_prot_XP_009302181.2_32853,edem3,81.1,905,137,4,7,910,15,886,0.0,1428.0
g10647,lcl|NC_133182.1_prot_XP_073764160.1_27515,adamts17,81.1,787,144,2,328,1110,2,787,0.0,1417.0
g20357,lcl|NC_133197.1_prot_XP_073792239.1_80581,mark1,81.1,788,136,5,1,776,1,787,0.0,1213.0
g20210,lcl|NC_133188.1_prot_NP_001107788.1_51437,ablim1a,81.1,682,98,9,8,679,33,693,0.0,1081.0
g13880,lcl|NC_133199.1_prot_NP_001032768.1_86437,rhot2,81.1,618,116,1,1,618,1,617,0.0,1016.0
g8902,lcl|NC_133196.1_prot_NP_001007330.2_76808,slc7a3a,81.1,650,113,5,1,646,1,644,0.0,975.0
g15884,lcl|NC_133181.1_prot_NP_001008617.1_23242,ift56,81.1,557,99,2,1,551,1,557,0.0,918.0
g18059,lcl|NC_133193.1_prot_XP_002665372.2_65609,zgc:173742,81.1,562,104,1,206,767,176,735,0.0,905.0
g1948,lcl|NC_133177.1_prot_XP_700781.6_4416,mmp16b,81.1,615,110,5,4,616,3,613,0.0,887.0
g244,lcl|NC_133186.1_prot_NP_957301.2_44399,alpl,81.1,508,95,1,1,508,35,541,1.63e-306,840.0
g10500,lcl|NC_133199.1_prot_XP_073797064.1_86096,pde1ca,81.1,493,87,3,95,582,49,540,1.14e-280,790.0
g20053,lcl|NC_133191.1_prot_XP_009290780.2_60029,serinc2l,81.1,456,85,1,1,456,1,455,1.48e-279,764.0
g5937,lcl|NC_133192.1_prot_NP_957066.1_61638,wars1,81.1,460,86,1,13,471,3,462,3.76e-279,764.0
g7976,lcl|NC_133195.1_prot_XP_073788488.1_73562,gpcpd1,81.1,449,82,2,161,608,2,448,3.9599999999999996e-263,732.0
g22652,lcl|NC_133198.1_prot_NP_001025376.1_82638,atf7a,81.1,498,81,4,1,486,1,497,3.44e-259,716.0
g1813,lcl|NC_133177.1_prot_NP_998327.1_5547,agxtb,81.1,396,75,0,33,428,27,422,2.97e-248,683.0
g18675,lcl|NC_133200.1_prot_XP_073798044.1_86898,pus7,81.1,392,74,0,247,638,1,392,4.68e-241,672.0
g20410,lcl|NC_133188.1_prot_NP_957500.2_48557,cox15,81.1,396,70,4,12,407,9,399,6.75e-231,637.0
g20425,lcl|NC_133188.1_prot_XP_073776243.1_50752,antxr1d,81.1,412,77,1,75,485,1,412,3.93e-210,594.0
g21688,lcl|NC_133189.1_prot_XP_021336831.1_52883,drd1a,81.1,370,55,4,4,371,6,362,1.8e-208,577.0
g4182,lcl|NC_133190.1_prot_NP_001073524.1_54812,lpar6a,81.1,359,63,2,1,356,1,357,1.1000000000000002e-201,559.0
g9030,lcl|NC_133196.1_prot_NP_001004630.1_76225,sc5d,81.1,302,55,1,1,302,1,300,4.95e-191,528.0
g6700,lcl|NC_133196.1_prot_NP_991255.1_74537,scamp1,81.1,338,61,1,1,335,1,338,4.94e-188,523.0
g21162,lcl|NC_133189.1_prot_XP_005173345.1_53582,tmem255a,81.1,322,59,2,9,330,8,327,8.910000000000001e-183,510.0
g2086,lcl|NC_133177.1_prot_XP_002661007.3_7773,LOC100333521,81.1,275,52,0,27,301,28,302,7.4e-184,509.0
g8840,lcl|NC_133196.1_prot_NP_001005980.1_76342,sumf2,81.1,275,50,1,20,292,22,296,2.62e-174,485.0
g2456,lcl|NC_133180.1_prot_XP_073805870.1_18505,nipsnap1,81.1,238,45,0,40,277,1,238,8.34e-148,415.0
g10062,lcl|NC_133199.1_prot_XP_073796220.1_86865,ssr1,81.1,296,54,1,3,298,2,295,3.39e-145,411.0
g9978,lcl|NC_133184.1_prot_NP_991284.1_39089,pdcl3,81.1,238,44,1,1,237,1,238,2e-136,384.0
g5179,lcl|NC_133194.1_prot_NP_001038771.1_67626,dnajc8,81.1,249,41,1,3,251,2,244,4.03e-129,367.0
g13067,lcl|NC_133178.1_prot_NP_001002476.1_8431,polr3h,81.1,217,35,2,1,214,1,214,1.07e-128,363.0
g17289,lcl|NC_133197.1_prot_NP_571768.2_78294,mibp,81.1,201,38,0,1,201,1,201,3.3e-128,360.0
g2735,lcl|NC_133183.1_prot_NP_957035.2_31693,cdo1,81.1,201,38,0,1,201,3,203,1.6799999999999998e-126,356.0
g8838,lcl|NC_133196.1_prot_XP_073790580.1_76357,abhd11,81.1,196,37,0,98,293,1,196,1.17e-112,325.0
g4962,lcl|NC_133194.1_prot_XP_009292216.1_67850,tmem196,81.1,180,34,0,1,180,1,180,1.59e-105,301.0
g12843,lcl|NC_133178.1_prot_NP_001098578.1_12189,alyref,81.1,281,42,4,1,271,1,280,2.79e-100,296.0
g13502,lcl|NC_133187.1_prot_NP_001003874.1_47777,chmp6b,81.1,206,36,2,1,204,1,205,4.93e-100,290.0
g10968,lcl|NC_133182.1_prot_NP_001018602.1_29074,mcee,81.1,175,31,1,1,173,1,175,1.86e-98,283.0
g19371,lcl|NC_133191.1_prot_NP_001004683.1_59204,mrpl17,81.1,164,31,0,1,164,1,164,8.3e-91,263.0
g9899,lcl|NC_133184.1_prot_XP_073768040.1_36873,uchl3,81.1,143,27,0,87,229,1,143,2.49e-81,241.0
g8918,lcl|NC_133196.1_prot_XP_068072236.1_77363,plac8l1,81.1,127,24,0,49,175,22,148,2.42e-77,229.0
g16451,lcl|NC_133188.1_prot_NP_840092.1_50703,cxcl12a,81.1,95,17,1,1,95,1,94,4.44e-53,162.0
g6302,lcl|NC_133192.1_prot_NP_997954.4_62720,dio2,81.1,90,17,0,1,90,168,257,4.43e-49,157.0
g5832,lcl|NC_133188.1_prot_NP_956814.1_51764,lbh,81.1,74,14,0,19,92,1,74,1.35e-39,129.0
g9170,lcl|NC_133197.1_prot_XP_009294776.1_80424,tsc22d2,81.1,74,14,0,893,966,469,542,8.439999999999999e-23,106.0
g10824,lcl|NC_133193.1_prot_NP_001289164.1_66891,dmxl2,81.0,3082,512,29,1,3040,1,3049,0.0,4760.0
g122001,lcl|NC_133179.1_prot_XP_073801622.1_14380,cacna1c,81.0,2273,299,20,57,2312,63,2219,0.0,3289.0
g50228,lcl|NC_133194.1_prot_XP_073786784.1_70217,clasp2,81.0,1509,222,14,1,1456,1,1497,0.0,2238.0
g29721,lcl|NC_133180.1_prot_XP_073806328.1_22480,ank1a,81.0,1123,188,12,847,1957,847,1956,0.0,1721.0
g19544,lcl|NC_133191.1_prot_XP_073782071.1_58540,myh14,81.0,2026,378,5,1,2023,1,2022,0.0,1694.0
g17075,lcl|NC_133186.1_prot_XP_691248.6_42828,ano8b,81.0,1097,165,7,22,1117,56,1110,0.0,1598.0
g21542,lcl|NC_133189.1_prot_XP_009289535.1_54098,ganabb,81.0,936,166,4,14,940,3,935,0.0,1592.0
g3629,lcl|NC_133190.1_prot_XP_001343838.1_56131,taok1a,81.0,1031,180,7,1,1023,1,1023,0.0,1365.0
g6412,lcl|NC_133196.1_prot_NP_998066.1_74300,zer1,81.0,773,147,0,1,773,1,773,0.0,1269.0
g5764,lcl|NC_133192.1_prot_NP_001082906.1_64002,hadhab,81.0,763,145,0,1,763,1,763,0.0,1246.0
g13899,lcl|NC_133187.1_prot_NP_001410764.1_47335,rnf40,81.0,1023,152,8,1,1000,1,1004,0.0,1182.0
